order_id,customer_id,order_date,order_total,status
1000082,8681,2026-08-10,177.76,placed
1000083,16010,2026-08-19,146.07,returned
1000084,35601,2026-08-13,154.75,placed
1000085,43770,2026-08-11,279.53,placed
1000086,8801,2026-08-20,62.14,placed
1000087,48656,2026-08-16,81.95,delivered
1000088,39639,2026-08-21,360.22,shipped
1000089,45056,2026-08-14,427.19,returned
1000090,16458,2026-08-10,454.54,placed
1000091,6049,2026-08-14,214.67,delivered
1000092,2890,2026-08-24,170.11,shipped
1000093,41754,2026-08-20,84.98,returned
1000094,36155,2026-08-13,216.71,placed
1000095,7332,2026-08-23,472.8,shipped
1000096,35756,2026-08-24,418.12,shipped
1000097,28167,2026-08-22,25.71,delivered
1000098,2615,2026-08-10,182.12,shipped
1000099,43709,2026-08-23,180.07,returned
1000100,40676,2026-08-13,81.5,shipped
1000101,10650,2026-08-12,406.33,returned
1000102,1625,2026-08-22,369.6,delivered
1000103,26983,2026-08-12,336.6,shipped
1000104,17486,2026-08-22,394.75,placed
1000105,25071,2026-08-11,24.17,returned
1000106,14578,2026-08-21,409.21,returned
1000107,22916,2026-08-20,411.17,shipped
1000108,14610,2026-08-24,331.72,returned
1000109,21513,2026-08-20,432.85,delivered
1000110,23013,2026-08-14,257.16,delivered
1000111,1809,2026-08-23,439.13,delivered
1000112,11703,2026-08-15,481.45,delivered
1000113,2508,2026-08-23,300.3,delivered
1000114,47746,2026-08-12,160.27,placed
1000115,25245,2026-08-10,290.41,delivered
1000116,2909,2026-08-13,220.85,shipped
1000117,23870,2026-08-18,39.64,delivered
1000118,40840,2026-08-19,333.38,placed
1000119,47170,2026-08-10,153.66,delivered
1000120,43706,2026-08-18,166.46,delivered
1000121,36334,2026-08-22,99.96,returned
1000122,44389,2026-08-13,451.89,delivered
1000123,26613,2026-08-16,417.69,delivered
1000124,18804,2026-08-21,217.79,delivered
1000125,30474,2026-08-17,223.87,shipped
1000126,33501,2026-08-17,397.9,shipped
1000127,43179,2026-08-23,145.47,delivered
1000128,6121,2026-08-11,476.24,shipped
1000129,44093,2026-08-20,116.2,shipped
1000130,9657,2026-08-24,27.88,returned
1000131,40061,2026-08-11,385.4,returned
1000132,27161,2026-08-10,316.73,shipped
1000133,47078,2026-08-13,195.07,returned
1000134,15990,2026-08-22,329.75,placed
1000135,49216,2026-08-11,386.17,placed
1000136,27863,2026-08-21,92.06,returned
1000137,3292,2026-08-16,128.35,placed
1000138,29915,2026-08-22,401.7,delivered
1000139,49497,2026-08-10,224.07,returned
1000140,35906,2026-08-17,449.12,returned
1000141,29496,2026-08-20,377.13,delivered
1000142,34164,2026-08-17,315.24,delivered
1000143,28828,2026-08-23,358.2,shipped
1000144,17808,2026-08-19,163.26,placed
1000145,9069,2026-08-22,119.47,shipped
1000146,46296,2026-08-21,36.79,returned
1000147,21685,2026-08-16,235.63,placed
1000148,13556,2026-08-11,212.97,placed
1000149,37729,2026-08-18,241.1,delivered
1000150,19570,2026-08-12,198.04,returned
1000151,35273,2026-08-13,368.64,shipped
1000152,31997,2026-08-21,140.1,returned
1000153,1903,2026-08-18,171.38,returned
1000154,47460,2026-08-22,421.05,shipped
1000155,40781,2026-08-16,18.35,returned
1000156,38791,2026-08-15,333.18,placed
1000157,42124,2026-08-18,72.17,returned
1000158,11910,2026-08-24,133.78,delivered
1000159,13872,2026-08-17,166.79,returned
1000160,18236,2026-08-12,475.85,returned
1000161,16533,2026-08-11,45.54,placed
1000162,49089,2026-08-16,30.78,delivered
1000163,14695,2026-08-14,38.97,placed
1000164,49430,2026-08-24,475.06,shipped
1000165,1336,2026-08-15,80.43,shipped
1000166,31036,2026-08-14,61.62,shipped
1000167,30477,2026-08-13,131.84,delivered
1000168,10997,2026-08-15,305.59,placed
1000169,10733,2026-08-20,58.51,placed
1000170,20445,2026-08-15,340.29,returned
1000171,25996,2026-08-13,103.17,shipped
1000172,6679,2026-08-13,387.38,placed
1000173,37089,2026-08-12,25.33,returned
1000174,43354,2026-08-19,39.13,delivered
1000175,830,2026-08-11,212.93,returned
1000176,6917,2026-08-18,480.59,returned
1000177,46355,2026-08-22,220.57,delivered
1000178,40365,2026-08-12,460.21,returned
1000179,30466,2026-08-18,413.74,delivered
1000180,21123,2026-08-11,126.52,placed
1000181,18280,2026-08-10,228.15,returned
1000182,37346,2026-08-15,335.75,delivered
1000183,1881,2026-08-17,426.22,shipped
1000184,31953,2026-08-21,180.64,delivered
1000185,22305,2026-08-20,440.76,delivered
1000186,36425,2026-08-24,260.73,shipped
1000187,5611,2026-08-21,361.44,returned
1000188,36385,2026-08-12,123.96,returned
1000189,42330,2026-08-13,247.96,placed
1000190,6099,2026-08-20,114.69,shipped
1000191,20068,2026-08-14,292.87,returned
1000192,36273,2026-08-16,175.16,delivered
1000193,23057,2026-08-13,229.6,delivered
1000194,16476,2026-08-21,64.72,shipped
1000195,20680,2026-08-23,372.73,shipped
1000196,12553,2026-08-21,370.61,delivered
1000197,47487,2026-08-15,488.42,delivered
1000198,6589,2026-08-11,101.09,shipped
1000199,23651,2026-08-22,154.62,shipped
1000200,17978,2026-08-24,487.28,delivered
1000201,17978,2026-08-22,320.75,returned
1000202,6724,2026-08-11,11.07,delivered
1000203,30763,2026-08-17,223.03,shipped
1000204,3368,2026-08-20,470.83,returned
1000205,7477,2026-08-11,37.35,returned
1000206,4856,2026-08-15,316.58,placed
1000207,9944,2026-08-22,406.52,delivered
1000208,5583,2026-08-21,63.63,returned
1000209,39736,2026-08-15,396.42,shipped
1000210,34248,2026-08-18,228.0,returned
1000211,19488,2026-08-11,296.32,returned
1000212,20014,2026-08-15,312.41,placed
1000213,49987,2026-08-21,314.63,delivered
1000214,43282,2026-08-23,82.74,shipped
1000215,36176,2026-08-23,82.48,returned
1000216,29525,2026-08-13,298.94,delivered
1000217,2140,2026-08-21,147.61,delivered
1000218,46071,2026-08-11,229.75,shipped
1000219,17338,2026-08-12,396.67,shipped
1000220,27862,2026-08-23,274.56,shipped
1000221,17409,2026-08-11,75.41,placed
1000222,10874,2026-08-12,157.27,delivered
1000223,28781,2026-08-23,237.01,delivered
1000224,45858,2026-08-18,471.62,returned
1000225,28689,2026-08-23,301.03,returned
1000226,48139,2026-08-19,303.84,placed
1000227,5986,2026-08-21,481.15,placed
1000228,44059,2026-08-11,138.41,placed
1000229,49563,2026-08-22,237.9,returned
1000230,18230,2026-08-22,498.49,returned
1000231,41602,2026-08-11,248.4,placed
1000232,30803,2026-08-19,207.13,delivered
1000233,43918,2026-08-23,429.58,delivered
1000234,26978,2026-08-13,250.26,returned
1000235,49841,2026-08-16,23.17,placed
1000236,20613,2026-08-20,165.02,returned
1000237,33725,2026-08-11,494.12,returned
1000238,27083,2026-08-24,97.85,delivered
1000239,40805,2026-08-12,251.75,returned
1000240,49807,2026-08-24,105.76,shipped
1000241,18877,2026-08-17,441.02,returned
1000242,7958,2026-08-24,486.71,shipped
1000243,46517,2026-08-22,158.82,placed
1000244,36193,2026-08-18,51.14,placed
1000245,30242,2026-08-23,325.62,shipped
1000246,32662,2026-08-10,359.72,delivered
1000247,27230,2026-08-11,243.84,returned
1000248,15974,2026-08-17,277.88,returned
1000249,12492,2026-08-10,301.69,shipped
1000250,4576,2026-08-20,387.47,returned
1000251,22275,2026-08-10,394.92,delivered
1000252,169,2026-08-20,364.4,returned
1000253,9739,2026-08-17,271.6,delivered
1000254,21787,2026-08-16,382.62,returned
1000255,29842,2026-08-10,164.28,shipped
1000256,45712,2026-08-21,288.04,shipped
1000257,26921,2026-08-24,162.5,returned
1000258,46218,2026-08-10,406.65,returned
1000259,43496,2026-08-12,411.27,shipped
1000260,32462,2026-08-24,67.49,delivered
1000261,6578,2026-08-11,423.29,placed
1000262,34469,2026-08-10,231.18,shipped
1000263,26869,2026-08-11,329.12,shipped
1000264,4904,2026-08-17,391.86,delivered
1000265,22188,2026-08-15,347.89,placed
1000266,21533,2026-08-11,338.81,returned
1000267,20753,2026-08-14,360.77,returned
1000268,35457,2026-08-24,310.64,shipped
1000269,41364,2026-08-14,460.86,shipped
1000270,48941,2026-08-23,219.82,placed
1000271,49832,2026-08-14,353.43,placed
1000272,29077,2026-08-22,348.53,placed
1000273,3015,2026-08-19,399.09,delivered
1000274,23493,2026-08-19,218.19,shipped
1000275,34811,2026-08-18,285.13,shipped
1000276,11141,2026-08-22,44.09,returned
1000277,40614,2026-08-14,124.21,shipped
1000278,15217,2026-08-17,320.76,returned
1000279,16734,2026-08-14,9.65,returned
1000280,18851,2026-08-14,275.57,placed
1000281,28950,2026-08-19,493.89,delivered
1000282,41874,2026-08-18,346.71,returned
1000283,19800,2026-08-21,499.69,returned
1000284,6990,2026-08-21,193.78,delivered
1000285,37671,2026-08-20,496.38,delivered
1000286,1438,2026-08-11,330.82,delivered
1000287,531,2026-08-15,433.21,placed
1000288,39742,2026-08-13,250.88,delivered
1000289,15082,2026-08-15,401.96,shipped
1000290,41722,2026-08-21,312.34,shipped
1000291,41173,2026-08-23,452.18,placed
1000292,20247,2026-08-12,223.21,delivered
1000293,47996,2026-08-22,49.62,delivered
1000294,21412,2026-08-13,210.67,shipped
1000295,8662,2026-08-12,272.01,delivered
1000296,34790,2026-08-16,457.18,shipped
1000297,16841,2026-08-10,413.22,returned
1000298,19343,2026-08-13,435.85,placed
1000299,30693,2026-08-23,74.67,shipped
1000300,44324,2026-08-13,338.83,returned
1000301,36525,2026-08-19,49.7,returned
1000302,913,2026-08-20,270.6,returned
1000303,24156,2026-08-14,375.76,delivered
1000304,38310,2026-08-18,412.1,delivered
1000305,7101,2026-08-14,120.74,placed
1000306,40603,2026-08-10,471.87,delivered
1000307,39983,2026-08-21,325.59,returned
1000308,45946,2026-08-20,326.37,placed
1000309,9161,2026-08-24,473.4,delivered
1000310,32285,2026-08-23,53.11,shipped
1000311,25471,2026-08-17,188.65,returned
1000312,38492,2026-08-13,364.67,returned
1000313,42921,2026-08-23,417.68,returned
1000314,18334,2026-08-24,346.69,shipped
1000315,29058,2026-08-17,475.52,delivered
1000316,6512,2026-08-14,186.83,delivered
1000317,3969,2026-08-18,141.56,placed
1000318,29801,2026-08-23,333.07,placed
1000319,3315,2026-08-12,170.09,shipped
1000320,37001,2026-08-21,38.96,shipped
1000321,38430,2026-08-21,407.46,shipped
1000322,21533,2026-08-12,78.04,placed
1000323,18172,2026-08-11,492.09,shipped
1000324,35404,2026-08-20,400.26,placed
1000325,43324,2026-08-11,17.76,placed
1000326,23478,2026-08-12,395.27,delivered
1000327,1035,2026-08-22,136.36,shipped
1000328,48610,2026-08-18,265.41,placed
1000329,31212,2026-08-17,390.12,placed
1000330,29623,2026-08-16,114.67,placed
1000331,47661,2026-08-12,454.83,delivered
1000332,30019,2026-08-14,482.19,placed
1000333,31391,2026-08-11,203.8,placed
1000334,32131,2026-08-11,455.3,placed
1000335,5295,2026-08-19,306.11,placed
1000336,8271,2026-08-20,314.04,delivered
1000337,24963,2026-08-15,267.63,returned
1000338,33132,2026-08-15,217.95,placed
1000339,42908,2026-08-14,439.46,shipped
1000340,28186,2026-08-17,444.61,returned
1000341,22213,2026-08-11,229.48,returned
1000342,47816,2026-08-23,159.71,delivered
1000343,43589,2026-08-20,190.28,shipped
1000344,45012,2026-08-10,239.76,placed
1000345,5595,2026-08-23,218.78,delivered
1000346,8528,2026-08-16,34.69,delivered
1000347,43910,2026-08-23,208.35,returned
1000348,47256,2026-08-24,484.36,delivered
1000349,23046,2026-08-23,291.07,shipped
1000350,10141,2026-08-14,243.68,placed
1000351,22946,2026-08-11,280.35,placed
1000352,49979,2026-08-20,289.18,returned
1000353,36764,2026-08-12,410.12,placed
1000354,39912,2026-08-10,330.63,delivered
1000355,1898,2026-08-22,140.27,delivered
1000356,22271,2026-08-19,8.02,shipped
1000357,37115,2026-08-14,203.39,shipped
1000358,48561,2026-08-14,486.05,placed
1000359,48898,2026-08-16,111.49,returned
1000360,29731,2026-08-19,82.92,delivered
1000361,47291,2026-08-19,389.53,placed
1000362,3448,2026-08-22,82.92,placed
1000363,44170,2026-08-23,139.69,returned
1000364,31829,2026-08-15,223.81,delivered
1000365,14128,2026-08-12,258.61,delivered
1000366,28175,2026-08-23,145.21,returned
1000367,34534,2026-08-14,157.67,shipped
1000368,25904,2026-08-15,32.12,shipped
1000369,19754,2026-08-21,384.84,delivered
1000370,18970,2026-08-19,64.39,returned
1000371,48957,2026-08-18,91.97,returned
1000372,34904,2026-08-13,118.9,delivered
1000373,4724,2026-08-18,431.57,placed
1000374,28589,2026-08-24,232.58,placed
1000375,20517,2026-08-15,217.5,returned
1000376,46498,2026-08-14,211.76,placed
1000377,26545,2026-08-24,483.27,shipped
1000378,40510,2026-08-17,416.85,delivered
1000379,5776,2026-08-18,423.02,shipped
1000380,28553,2026-08-15,203.22,placed
1000381,25937,2026-08-11,158.59,delivered
1000382,14521,2026-08-19,390.66,placed
1000383,33456,2026-08-14,61.44,shipped
1000384,22897,2026-08-19,365.05,shipped
1000385,15485,2026-08-23,77.49,shipped
1000386,11371,2026-08-15,80.67,placed
1000387,11610,2026-08-12,315.83,returned
1000388,49444,2026-08-15,381.14,returned
1000389,44639,2026-08-10,441.61,delivered
1000390,41106,2026-08-19,79.72,placed
1000391,30732,2026-08-17,317.54,delivered
1000392,38760,2026-08-24,179.21,placed
1000393,20343,2026-08-17,228.7,placed
1000394,24166,2026-08-11,147.1,placed
1000395,40306,2026-08-15,256.0,returned
1000396,38033,2026-08-16,477.34,placed
1000397,29474,2026-08-10,405.86,shipped
1000398,21072,2026-08-15,240.44,shipped
1000399,4055,2026-08-17,56.23,delivered
1000400,46814,2026-08-23,254.75,shipped
1000401,2566,2026-08-21,355.27,returned
1000402,34346,2026-08-16,306.85,delivered
1000403,24436,2026-08-10,145.03,returned
1000404,22176,2026-08-14,300.95,delivered
1000405,4320,2026-08-19,51.78,returned
1000406,18622,2026-08-20,363.25,shipped
1000407,21848,2026-08-23,293.46,shipped
1000408,22926,2026-08-20,484.01,returned
1000409,8451,2026-08-15,355.87,placed
1000410,20289,2026-08-16,191.46,delivered
1000411,8376,2026-08-14,352.9,placed
1000412,42338,2026-08-14,214.59,delivered
1000413,1195,2026-08-19,157.89,shipped
1000414,22396,2026-08-12,245.7,shipped
1000415,9016,2026-08-22,43.2,placed
1000416,33272,2026-08-12,272.19,placed
1000417,43381,2026-08-19,438.81,shipped
1000418,39142,2026-08-18,81.36,shipped
1000419,45407,2026-08-12,314.25,shipped
1000420,47264,2026-08-17,26.63,delivered
1000421,44327,2026-08-13,122.58,returned
1000422,40016,2026-08-20,377.43,returned
1000423,15336,2026-08-16,123.39,returned
1000424,12716,2026-08-19,340.76,returned
1000425,30257,2026-08-12,144.48,returned
1000426,32959,2026-08-16,212.24,shipped
1000427,13088,2026-08-12,304.31,delivered
1000428,3420,2026-08-14,242.89,delivered
1000429,36343,2026-08-10,55.78,placed
1000430,18682,2026-08-23,382.74,delivered
1000431,29447,2026-08-10,259.11,returned
1000432,6011,2026-08-10,114.91,returned
1000433,22911,2026-08-10,18.2,placed
1000434,25983,2026-08-16,190.11,returned
1000435,5349,2026-08-19,116.15,delivered
1000436,6494,2026-08-11,358.78,delivered
1000437,9572,2026-08-22,23.96,returned
1000438,45618,2026-08-11,73.7,returned
1000439,29400,2026-08-15,7.6,placed
1000440,1246,2026-08-20,111.75,shipped
1000441,35967,2026-08-13,306.4,returned
1000442,7287,2026-08-12,147.61,delivered
1000443,7986,2026-08-24,123.03,returned
1000444,4117,2026-08-23,419.16,returned
1000445,39108,2026-08-16,13.14,shipped
1000446,47091,2026-08-22,149.18,placed
1000447,40293,2026-08-19,124.08,returned
1000448,12276,2026-08-14,335.77,delivered
1000449,4436,2026-08-16,274.32,placed
1000450,25589,2026-08-11,237.72,returned
1000451,24465,2026-08-20,374.92,delivered
1000452,4428,2026-08-19,124.36,placed
1000453,38136,2026-08-13,379.56,shipped
1000454,2906,2026-08-19,275.28,shipped
1000455,44872,2026-08-17,490.51,returned
1000456,41402,2026-08-22,406.69,placed
1000457,46927,2026-08-12,472.08,placed
1000458,19232,2026-08-21,26.68,shipped
1000459,2747,2026-08-19,467.02,returned
1000460,35589,2026-08-17,130.39,shipped
1000461,18751,2026-08-19,431.76,placed
1000462,42975,2026-08-19,140.24,delivered
1000463,28637,2026-08-10,203.01,returned
1000464,25340,2026-08-19,486.99,returned
1000465,45356,2026-08-17,186.84,delivered
1000466,5415,2026-08-13,215.13,returned
1000467,39483,2026-08-11,94.33,delivered
1000468,21051,2026-08-23,44.63,delivered
1000469,20087,2026-08-17,303.3,returned
1000470,10922,2026-08-13,224.73,returned
1000471,2776,2026-08-13,435.67,delivered
1000472,40295,2026-08-18,140.9,placed
1000473,4918,2026-08-14,320.57,delivered
1000474,33626,2026-08-12,376.2,shipped
1000475,2041,2026-08-22,425.09,returned
1000476,2281,2026-08-22,38.28,delivered
1000477,23734,2026-08-18,474.99,placed
1000478,39656,2026-08-22,341.14,delivered
1000479,24381,2026-08-17,382.73,shipped
1000480,34699,2026-08-19,202.03,delivered
1000481,16359,2026-08-23,17.83,shipped
1000482,32706,2026-08-16,196.56,placed
1000483,17156,2026-08-12,133.84,returned
1000484,14063,2026-08-15,146.36,returned
1000485,13119,2026-08-23,72.19,placed
1000486,29626,2026-08-22,449.85,returned
1000487,5754,2026-08-12,342.55,delivered
1000488,43768,2026-08-19,356.22,delivered
1000489,19658,2026-08-11,82.97,shipped
1000490,23691,2026-08-16,116.0,shipped
1000491,9102,2026-08-21,396.23,placed
1000492,23652,2026-08-16,288.28,returned
1000493,36153,2026-08-22,307.91,placed
1000494,4309,2026-08-20,202.09,returned
1000495,34452,2026-08-18,385.74,placed
1000496,8214,2026-08-19,322.96,returned
1000497,30529,2026-08-14,261.09,shipped
1000498,36131,2026-08-14,295.95,shipped
1000499,28353,2026-08-16,455.8,placed
1000500,8138,2026-08-16,80.74,shipped
